編號,案類,發生(現)日期,發生時段,發生(現)地點
55,住宅竊盜,1040112,19~21,台北市松山區健康路325巷18弄1~30號
56,住宅竊盜,1040113,10~12,台北市萬華區青年路31~60號
57,住宅竊盜,1040115,07~09,台北市南港區九如里研究院路三段18巷1~30號
58,住宅竊盜,1040115,10~12,台北市大安區市民大道四段1~30號
59,住宅竊盜,1040115,10~12,台北市內湖區民權東路六段296巷91~120號
60,住宅竊盜,1040115,22~24,台北市松山區饒河街181~210號
61,住宅竊盜,1040116,10~12,台北市松山區敦化南路二段31~60號
62,住宅竊盜,1040117,10~12,台北市文山區明義里興隆路四段46巷31~60號
63,住宅竊盜,1040118,01~03,台北市萬華區桂林路242巷1 ~ 30號
64,住宅竊盜,1040118,07~09,台北市萬華區西園路二段320巷61~90號
65,住宅竊盜,1040118,10~12,台北市大安區通化里通化街19巷1~30號
66,住宅竊盜,1040118,19~21,台北市信義區富台里忠孝東路五段295巷6弄31~60號
67,住宅竊盜,1040120,19~21,台北市南港區三重里重陽路511~540號
68,住宅竊盜,1040121,07~09,台北市萬華區柳鄉里1鄰桂林路242巷6弄1~30號
69,住宅竊盜,1040121,19~21,台北市士林區百齡里21鄰通河東街一段61~90號
70,住宅竊盜,1040121,19~21,台北市中山區吉林路379巷1~30號
71,住宅竊盜,1040121,22~24,台北市中山區中山北路一段53巷1~30號
72,住宅竊盜,1040122,10~12,台北市大同區揚雅里承德路三段90巷1~30號
73,住宅竊盜,1040122,16~18,台北市大安區龍安里青田街5巷1~30號
74,住宅竊盜,1040123,13~15,台北市中正區龍光里和平西路二段1~30號
75,住宅竊盜,1040123,19~21,台北市文山區萬興里21鄰秀明路二段115巷1~30號
76,住宅竊盜,1040124,10~12,台北市萬華區梧州街60巷1~30號
77,住宅竊盜,1040126,01~03,台北市萬華區民和街55巷1~30號
78,住宅竊盜,1040126,07~09,台北市大同區酒泉街103巷1~30號
79,住宅竊盜,1040126,19~21,台北市內湖區西康里4鄰文湖街11巷1~30號
80,住宅竊盜,1040127,01~03,台北市中山區中山北路二段1~30號
81,住宅竊盜,1040127,04~06,台北市中山區民生東路三段9巷1~30號
82,住宅竊盜,1040127,10~12,台北市文山區景興路238巷1~30號
83,住宅竊盜,1040127,13~15,台北市南港區東明里興華路64巷1~30號
84,住宅竊盜,1040127,16~18,台北市大安區錦泰里15鄰金山南路二段121~150號
85,住宅竊盜,1040128,13~15,台北市內湖區東湖里康樂街48巷1~30號
86,住宅竊盜,1040129,13~15,台北市松山區延壽街121~150號
87,住宅竊盜,1040129,13~15,台北市信義區富台里忠孝東路五段423巷5弄1~30號
88,住宅竊盜,1040130,13~15,台北市信義區廣居里忠孝東路五段372巷27弄61~90號
89,住宅竊盜,1040131,22~24,台北市南港區重陽路57巷1~30號
90,住宅竊盜,1040201,10~12,台北市北投區雙全街62巷1~30號
91,住宅竊盜,1040201,10~12,台北市松山區敦化北路199巷100弄1~30號
92,住宅竊盜,1040201,19~21,台北市信義區信義路六段15巷1~30號
93,住宅竊盜,1040201,22~24,台北市北投區中心里中和街31~60號
94,住宅竊盜,1040202,07~09,台北市中正區網溪里廈門街91~120號
95,住宅竊盜,1040202,19~21,台北市北投區中心里中和街31~60號
96,住宅竊盜,1040204,16~18,台北市中山區農安街125巷1~30號
97,住宅竊盜,1040205,01~03,台北市士林區百齡里福港街211~240號
98,住宅竊盜,1040205,04~06,台北市內湖區樂康里康樂街111巷31~60號
99,住宅竊盜,1040205,13~15,台北市萬華區大理街170巷1~30號
100,住宅竊盜,1040206,07~09,台北市中山區合江街20巷1~30號
101,住宅竊盜,1040207,22~24,台北市中正區三愛里新生南路一段121~150號
102,住宅竊盜,1040208,04~06,台北市大安區新龍里信義路三段134巷61~90號
103,住宅竊盜,1040209,01~03,台北市文山區忠順里忠順街二段1~30號
104,住宅竊盜,1040210,01~03,台北市北投區大同路200巷1~30號
105,住宅竊盜,1040211,16~18,台北市內湖區葫洲里民權東路六段296巷31~60號
106,住宅竊盜,1040212,19~21,台北市文山區興安里22鄰景華街176巷1~30號
107,住宅竊盜,1040212,22~24,台北市萬華區萬大路493巷48弄1~30號
108,住宅竊盜,1040213,04~06,台北市中山區八德路二段210巷1~30號
109,住宅竊盜,1040213,07~09,台北市中山區農安街1~30號
110,住宅竊盜,1040215,07~09,台北市大安區法治里通化街173巷1~30號
111,住宅竊盜,1040215,07~09,台北市中山區長安東路二段1~30號
112,住宅竊盜,1040215,10~12,台北市北投區吉利里20鄰石牌路一段39巷61~90號
113,住宅竊盜,1040215,22~24,台北市信義區和平東路三段661~690號
114,住宅竊盜,1040216,10~12,台北市中正區文盛里羅斯福路三段210巷8弄1~30號
115,住宅竊盜,1040216,13~15,台北市內湖區新明路246巷3弄1~30號
116,住宅竊盜,1040216,16~18,台北市內湖區西湖里內湖路一段91巷121~150號
117,住宅竊盜,1040216,22~24,台北市松山區南京東路五段211~240號
118,住宅竊盜,1040216,22~24,台北市信義區吳興街269巷1 ~ 30號
119,住宅竊盜,1040218,04~06,台北市大同區民權里民權西路160巷30弄1~30號
120,住宅竊盜,1040219,13~15,台北市信義區黎忠里和平東路三段391巷8弄31~60號
121,住宅竊盜,1040219,16~18,台北市北投區文林里致遠一路一段125巷1~30號
122,住宅竊盜,1040219,16~18,台北市信義區四育里虎林街46巷1~30號
123,住宅竊盜,1040219,19~21,台北市信義區四育里虎林街46巷1~30號
124,住宅竊盜,1040220,04~06,台北市北投區文林里致遠一路一段31~60號
125,住宅竊盜,1040221,19~21,台北市大安區通化里17鄰通化街39巷62弄1~30號
126,住宅竊盜,1040222,01~03,台北市文山區樟新里樟新街32巷1~30號
127,住宅竊盜,1040223,10~12,台北市南港區中南里中南街74巷31~60號
128,住宅竊盜,1040223,13~15,台北市信義區大仁里福德街84巷1弄1~30號
129,住宅竊盜,1040223,19~21,台北市士林區蘭雅里德行東路31~60號
130,住宅竊盜,1040223,22~24,台北市士林區義信里大南路61~90號
131,住宅竊盜,1040224,10~12,台北市萬華區萬大路493巷48弄1~30號
132,住宅竊盜,1040224,16~18,台北市北投區中心里8鄰泉源路31~60號
133,住宅竊盜,1040224,19~21,台北市內湖區西湖里26鄰內湖路一段285巷65弄61~90號
134,住宅竊盜,1040225,04~06,台北市中正區黎明里南陽街1~30號
135,住宅竊盜,1040225,07~09,台北市士林區聖山里忠誠路一段147巷1~30號
136,住宅竊盜,1040226,01~03,台北市大安區義安里敦化南路二段63巷31~60號
137,住宅竊盜,1040226,13~15,台北市中正區幸市里臨沂街33巷1~30號
138,住宅竊盜,1040226,19~21,台北市內湖區西湖里內湖路一段323巷14弄1~30號
139,住宅竊盜,1040227,01~03,台北市萬華區西園路二段151~180號
140,住宅竊盜,1040227,10~12,台北市北投區中央里大興街24巷7弄1~30號
141,住宅竊盜,1040227,22~24,台北市萬華區西寧南路206巷1~30號
142,住宅竊盜,1040228,19~21,台北市萬華區東園街73巷61~90號
143,住宅竊盜,1040304,01~03,台北市北投區福興里自強街5巷61~90號
144,住宅竊盜,1040304,16~18,台北市士林區社新里延平北路六段273巷1~30號
145,住宅竊盜,1040304,16~18,台北市內湖區湖興里成功路二段312巷31~60號
146,住宅竊盜,1040305,04~06,台北市北投區吉慶里11鄰致遠二路1~30號
147,住宅竊盜,1040305,13~15,台北市內湖區葫洲里2鄰民權東路六段280巷25弄1~30號
148,住宅竊盜,1040306,01~03,台北市內湖區大湖里大湖山莊街121~150號
149,住宅竊盜,1040306,19~21,台北市大安區建安里忠孝東路四段181巷40弄1~30號
150,住宅竊盜,1040307,04~06,台北市北投區大同里大業路481~510號
151,住宅竊盜,1040308,16~18,台北市萬華區內江街151~180號
152,住宅竊盜,1040308,22~24,台北市萬華區中華路二段416巷1~30號
153,住宅竊盜,1040310,10~12,台北市萬華區昆明街211~240號
154,住宅竊盜,1040310,10~12,台北市萬華區昆明街211~240號
155,住宅竊盜,1040310,22~24,台北市士林區天母里中山北路七段219巷1~30號
156,住宅竊盜,1040310,22~24,台北市松山區八德路四段106巷10弄1~30號
157,住宅竊盜,1040312,01~03,台北市中正區水源里羅斯福路四段61~90號
158,住宅竊盜,1040312,10~12,台北市大同區至聖里大龍街259巷10弄1~30號
159,住宅竊盜,1040312,16~18,台北市大安區古莊里浦城街13巷1~30號
160,住宅竊盜,1040313,01~03,台北市北投區中庸里10鄰大同街181~210號
161,住宅竊盜,1040314,01~03,台北市文山區試院里和興路91~120號
162,住宅竊盜,1040315,01~03,台北市萬華區長泰街271~300號
163,住宅竊盜,1040316,07~09,台北市大安區和平東路一段1~30號
164,住宅竊盜,1040316,07~09,台北市中正區螢雪里水源路151~180號
165,住宅竊盜,1040317,01~03,台北市北投區榮華里17鄰明德路118巷1~30號
166,住宅竊盜,1040317,10~12,台北市南港區萬福里同德路50巷1~30號
167,住宅竊盜,1040319,10~12,台北市文山區萬和里溪洲街61~90號
168,住宅竊盜,1040319,22~24,台北市北投區永和里同德街44巷1~30號
169,住宅竊盜,1040320,10~12,台北市萬華區糖?里大理街160巷26弄1~30號
170,住宅竊盜,1040320,19~21,台北市萬華區漢口街二段61~90號
171,住宅竊盜,1040324,07~09,台北市松山區民權東路三段153巷3弄1~30號
172,住宅竊盜,1040325,13~15,台北市大安區龍門里10鄰和平東路二段18巷13弄1~30號
173,住宅竊盜,1040326,16~18,台北市文山區興福里1鄰興隆路一段260巷1~30號
174,住宅竊盜,1040327,16~18,台北市文山區萬隆里羅斯福路五段241~270號
175,住宅竊盜,1040327,19~21,台北市信義區黎平里和平東路三段207巷6弄1~30號
176,住宅竊盜,1040328,19~21,台北市中山區天祥路60巷1~30號
177,住宅竊盜,1040329,07~09,台北市松山區南京東路五段31~60號
178,住宅竊盜,1040329,10~12,台北市士林區社園里021鄰社中街298巷4弄1~30號
179,住宅竊盜,1040329,16~18,台北市松山區民生東路三段113巷25弄31~60號
180,住宅竊盜,1040330,07~09,台北市中山區松江路331~360號
181,住宅竊盜,1040330,10~12,台北市士林區平等里平菁街105巷1~30號
182,住宅竊盜,1040330,10~12,台北市文山區萬利街2巷1~30號
183,住宅竊盜,1040331,07~09,台北市內湖區金瑞里金龍路1~30號
184,住宅竊盜,1040331,22~24,台北市萬華區萬大路493巷28弄1~30號
185,住宅竊盜,1040401,13~15,台北市士林區天壽里5鄰天母西路22巷1~30號
186,住宅竊盜,1040401,22~24,台北市中山區長春路241~270號
187,住宅竊盜,1040404,13~15,台北市文山區木新里指南路一段31~60號
188,住宅竊盜,1040405,10~12,台北市文山區指南里指南路三段22巷1~30號
189,住宅竊盜,1040405,19~21,台北市松山區光復北路31~60號
190,住宅竊盜,1040405,22~24,台北市大同區南芳里延平北路二段241~270號
191,住宅竊盜,1040405,22~24,台北市內湖區港富里麗山街328巷1~30號
192,住宅竊盜,1040407,01~03,台北市萬華區雅江街31~60號
193,住宅竊盜,1040407,10~12,台北市中山區大直街84巷1~30號
194,住宅竊盜,1040407,10~12,台北市內湖區紫陽里文德路22巷59弄1~30號
195,住宅竊盜,1040408,10~12,台北市中正區螢雪里重慶南路三段74巷1~30號
196,住宅竊盜,1040408,16~18,台北市內湖區寶湖里成功路二段301~330號
197,住宅竊盜,1040409,10~12,台北市中山區農安街1~30號
198,住宅竊盜,1040410,07~09,台北市北投區吉利里23鄰吉利街320巷1弄1~30號
199,住宅竊盜,1040410,16~18,台北市萬華區忠德里4鄰寶興街91~120號
200,住宅竊盜,1040410,19~21,台北市松山區民生東路五段181~210號
201,住宅竊盜,1040411,10~12,台北市內湖區內湖路1段359巷1 ~ 30號
202,住宅竊盜,1040413,10~12,台北市北投區智仁里杏林二路28巷1 ~ 30號
203,住宅竊盜,1040413,13~15,台北市萬華區貴陽街二段151~180號
204,住宅竊盜,1040415,07~09,台北市松山區民生東路四段55巷1~30號
205,住宅竊盜,1040415,16~18,台北市萬華區西園路二段261巷31~60號
206,住宅竊盜,1040415,22~24,台北市萬華區富民里4鄰貴陽街二段151~180號
207,住宅竊盜,1040416,04~06,台北市文山區萬和里1鄰溪州街137巷61~90號
208,住宅竊盜,1040416,07~09,台北市士林區三玉里忠誠路二段41巷1~30號
209,住宅竊盜,1040416,10~12,台北市中山區中山北路二段93巷1~30號
210,住宅竊盜,1040416,13~15,台北市內湖區康樂街61巷12弄1~30號
211,住宅竊盜,1040416,13~15,台北市北投區永欣里石牌路二段181~210號
212,住宅竊盜,1040416,19~21,台北市南港區舊莊里舊莊街一段145巷6弄1~30號
213,住宅竊盜,1040417,16~18,台北市中山區建國北路三段22巷1~30號
214,住宅竊盜,1040417,16~18,台北市北投區奇岩里奇岩路31~60號
215,住宅竊盜,1040419,13~15,台北市北投區榮華里榮華一路15巷1~30號
216,住宅竊盜,1040420,16~18,台北市內湖區瑞光里瑞光路235巷1~30號
217,住宅竊盜,1040420,22~24,台北市中山區遼寧街241~270號
218,住宅竊盜,1040421,19~21,台北市文山區指南里15鄰指南路三段26巷1~30號
219,住宅竊盜,1040422,19~21,台北市萬華區萬大路493巷12弄1~30號
220,住宅竊盜,1040423,04~06,台北市內湖區康樂街136巷15弄1~30號
221,住宅竊盜,1040423,13~15,台北市內湖區樂康里康樂街136巷15弄1~30號
222,住宅竊盜,1040423,19~21,台北市士林區仁勇里16鄰大東路121~150號
223,住宅竊盜,1040423,19~21,台北市萬華區環河南路二段250巷3弄1~30號
224,住宅竊盜,1040424,10~12,台北市內湖區樂康里康樂街72巷17弄121~150號
225,住宅竊盜,1040425,04~06,台北市文山區興業里23鄰辛亥路五段124巷1~30號
226,住宅竊盜,1040425,22~24,台北市大同區揚雅里民族西路121~150號
227,住宅竊盜,1040426,04~06,台北市北投區智仁里21鄰中和街525巷10弄1~30號
228,住宅竊盜,1040427,07~09,台北市中山區大直街62巷5弄1~30號
229,住宅竊盜,1040427,07~09,台北市內湖區湖興里20鄰成功路二段250巷31~60號
230,住宅竊盜,1040427,10~12,台北市文山區興隆路2段154巷1 ~ 30號
231,住宅竊盜,1040427,13~15,台北市中山區大直街62巷5弄1~30號
232,住宅竊盜,1040427,16~18,台北市萬華區德昌街132巷1~30號
233,住宅竊盜,1040427,22~24,台北市內湖區港都里港華街85巷1~30號
234,住宅竊盜,1040428,19~21,台北市萬華區西藏路481 ~ 510號
235,住宅竊盜,1040429,13~15,台北市中山區敬業三路162巷121~150號
236,住宅竊盜,1040429,13~15,台北市中山區敬業三路162巷31~60號
237,住宅竊盜,1040430,07~09,台北市內湖區麗山街328巷1~30號
238,住宅竊盜,1040430,19~21,台北市內湖區樂康里康樂街136巷18弄31~60號
239,住宅竊盜,1040501,16~18,台北市中山區吉林路379巷1~30號
240,住宅竊盜,1040501,22~24,台北市信義區忠孝東路
241,住宅竊盜,1040503,19~21,台北市松山區寶清街104巷1~30號
242,住宅竊盜,1040504,10~12,台北市中山區長安東路一段31~60號
243,住宅竊盜,1040504,19~21,台北市內湖區西湖里內湖路一段323巷1~30號
244,住宅竊盜,1040505,16~18,台北市士林區菁山里永公路511~540號
245,住宅竊盜,1040506,19~21,台北市文山區試院里29鄰木柵路一段1~30號
246,住宅竊盜,1040507,19~21,台北市信義區大道里大道路7巷1弄1~30號
247,住宅竊盜,1040508,04~06,台北市大同區斯文里大龍街89巷1~30號
248,住宅竊盜,1040508,07~09,台北市大安區車層里忠孝東路四段216巷19弄1~30號
249,住宅竊盜,1040508,13~15,台北市北投區大屯里復興三路521巷1~30號
250,住宅竊盜,1040509,10~12,台北市士林區聖山里20鄰忠義街46巷1~30號
251,住宅竊盜,1040510,04~06,台北市大安區虎嘯里樂業街15巷1~30號
252,住宅竊盜,1040510,10~12,台北市內湖區新明路380巷9弄1~30號
253,住宅竊盜,1040510,13~15,台北市中山區中山北路一段91~120號
254,住宅竊盜,1040511,22~24,台北市萬華區萬大路322巷55弄1~30號
255,住宅竊盜,1040512,10~12,台北市北投區開明里珠海路107巷1~30號
256,住宅竊盜,1040512,13~15,台北市中正區文祥里金山南路一段91~120號
257,住宅竊盜,1040512,19~21,台北市松山區延壽街61~90號
258,住宅竊盜,1040514,10~12,台北市內湖區康寧路三段245巷31~60號
259,住宅竊盜,1040514,10~12,台北市文山區樟新里木新路三段301~330號
260,住宅竊盜,1040515,10~12,台北市內湖區康寧路一段156巷7弄1~30號
261,住宅竊盜,1040515,10~12,台北市內湖區麗山街46巷5弄1~30號
262,住宅竊盜,1040515,19~21,台北市北投區榮光里致遠一路二段40巷1弄1~30號
263,住宅竊盜,1040518,10~12,台北市中正區黎明里信陽街1~30號
264,住宅竊盜,1040521,16~18,台北市北投區文化里文化三路1~30號
265,住宅竊盜,1040521,22~24,台北市士林區福志里24鄰中山北路五段756巷1~30號
266,住宅竊盜,1040522,16~18,台北市中正區板溪里南昌路二段91~120號
267,住宅竊盜,1040523,10~12,台北市松山區南京東路五段291巷44弄1~30號
268,住宅竊盜,1040523,10~12,台北市松山區南京東路五段59巷28弄1~30號
269,住宅竊盜,1040525,19~21,台北市文山區試院里木柵路一段31~60號
270,住宅竊盜,1040526,04~06,台北市北投區洲美里洲美街81巷1~30號
271,住宅竊盜,1040526,16~18,台北市中山區錦州街181~210號
272,住宅竊盜,1040526,22~24,台北市中山區林森北路119巷1~30號
273,住宅竊盜,1040528,04~06,台北市文山區萬祥里興隆路一段70巷1~30號
274,住宅竊盜,1040528,19~21,台北市士林區永倫里6鄰社中街426巷1~30號
275,住宅竊盜,1040529,16~18,台北市大同區斯文里承德路三段85巷1~30號
276,住宅竊盜,1040529,22~24,台北市大同區光能里南京西路31~60號
277,住宅竊盜,1040531,22~24,台北市文山區興得里興隆路三段192巷8弄31~60號
278,住宅竊盜,1040531,22~24,台北市信義區大道里林口街151~180號
279,住宅竊盜,1040601,22~24,台北市中山區八德路二段241~270號
280,住宅竊盜,1040602,13~15,台北市北投區泉源里東昇路91~120號
281,住宅竊盜,1040603,16~18,台北市中山區長安東路二段31~60號
282,住宅竊盜,1040606,04~06,台北市中山區錦州街31~60號
283,住宅竊盜,1040606,10~12,台北市松山區南京東路五段123巷8弄1~30號
284,住宅竊盜,1040606,19~21,台北市松山區八德路三段12巷52弄1~30號
285,住宅竊盜,1040607,07~09,台北市中山區中山北路二段65巷2弄1~30號
286,住宅竊盜,1040607,10~12,台北市大安區民炤里新生南路一段137巷1~30號
287,住宅竊盜,1040608,07~09,台北市中山區民權東路一段31~60號
288,住宅竊盜,1040608,13~15,台北市士林區福林里中山北路五段460巷1~30號
289,住宅竊盜,1040608,22~24,台北市中山區長春路61~90號
290,住宅竊盜,1040609,16~18,台北市文山區試院里和興路91~120號
291,住宅竊盜,1040612,10~12,台北市信義區三張里莊敬路391~420號
292,住宅竊盜,1040615,10~12,台北市中山區建國北路二段116巷1~30號
293,住宅竊盜,1040615,16~18,台北市大安區建安里忠孝東路四段181巷7弄1~30號
294,住宅竊盜,1040615,22~24,台北市文山區萬芳里011鄰萬安街61 ~ 90號
295,住宅竊盜,1040616,07~09,台北市萬華區西藏路199巷1~30號
296,住宅竊盜,1040616,13~15,台北市文山區景東里景華街104巷1~30號
297,住宅竊盜,1040616,13~15,台北市文山區景東里景興路153巷14弄1~30號
298,住宅竊盜,1040619,07~09,台北市中山區長安東路一段52巷9弄1~30號
299,住宅竊盜,1040619,07~09,台北市文山區萬隆里羅斯福路五段211~240號
300,住宅竊盜,1040619,19~21,台北市中正區頂東里羅斯福路二段174巷1~30號
301,住宅竊盜,1040620,04~06,台北市松山區光復北路120巷121~150號
302,住宅竊盜,1040620,10~12,台北市信義區富陽街44巷1~30號
303,住宅竊盜,1040621,10~12,台北市士林區溪山里至善路三段1~30號
304,住宅竊盜,1040622,07~09,台北市北投區八仙里承德路七段401巷331弄1~30號
305,住宅竊盜,1040622,13~15,台北市士林區臨溪里5鄰故宮路41巷1~30號
306,住宅竊盜,1040622,13~15,台北市士林區臨溪里故宮路41巷1~30號
307,住宅竊盜,1040623,22~24,台北市大安區大安路一段16巷1~30號
308,住宅竊盜,1040624,04~06,台北市中山區新生北路三段1~30號
309,住宅竊盜,1040624,19~21,台北市中正區光復里重慶南路一段1~30號
310,住宅竊盜,1040625,22~24,台北市中山區明水路601~630號
311,住宅竊盜,1040628,01~03,台北市士林區陽明里華岡路31~60號
312,住宅竊盜,1040628,16~18,台北市內湖區東湖路113巷95弄121~150號
313,住宅竊盜,1040628,16~18,台北市南港區玉成里南港路三段130巷3弄1~30號
314,住宅竊盜,1040628,22~24,台北市中山區中山北路二段128巷6弄1~30號
315,住宅竊盜,1040628,22~24,台北市中山區林森北路391~420號
316,住宅竊盜,1040630,22~24,台北市北投區林泉里新民路31~60號
317,住宅竊盜,1040701,07~09,台北市中正區羅斯福路三段91~120號
318,住宅竊盜,1040701,16~18,台北市中山區林森北路451~480號
319,住宅竊盜,1040701,22~24,台北市中山區農安街28之1 ~ 30號
320,住宅竊盜,1040702,19~21,台北市士林區菁山里菁山路99巷1~30號
321,住宅竊盜,1040703,01~03,台北市中山區民族東路512巷1~30號
322,住宅竊盜,1040703,13~15,台北市內湖區康樂街201巷23弄1~30號
323,住宅竊盜,1040704,04~06,台北市信義區永吉里松山路91~120號
324,住宅竊盜,1040707,01~03,台北市萬華區西園路一段256巷1~30號
325,住宅竊盜,1040707,07~09,台北市文山區樟文里辛亥路七段69巷1~30號
326,住宅竊盜,1040707,19~21,台北市萬華區莒光路181~210號
327,住宅竊盜,1040708,10~12,台北市文山區萬芳里萬美街一段19巷1~30號
328,住宅竊盜,1040709,01~03,台北市中山區新生北路三段61~90號
329,住宅竊盜,1040710,01~03,台北市中山區民族東路512巷10、1~30號
330,住宅竊盜,1040712,16~18,台北市萬華區國興路61~90號
331,住宅竊盜,1040713,22~24,台北市中山區雙城街19巷1~30號
332,住宅竊盜,1040713,22~24,台北市中正區東門里杭州南路一段18巷1~30號
333,住宅竊盜,1040714,07~09,台北市萬華區環河南路二段35巷15弄1~30號
334,住宅竊盜,1040714,22~24,台北市中山區民權東路2段92巷1弄1 ~ 30號
335,住宅竊盜,1040715,10~12,台北市萬華區雙園街60巷31~60號
336,住宅竊盜,1040715,13~15,台北市信義區正和里光復南路417巷211~240號
337,住宅竊盜,1040715,19~21,台北市中山區南京東路二段91~120號
338,住宅竊盜,1040716,07~09,台北市大安區光信里光復南路456巷1~30號
339,住宅竊盜,1040717,01~03,台北市中山區民生東路一段61~90號
340,住宅竊盜,1040718,01~03,台北市北投區一德里中央北路四段151~180號
341,住宅竊盜,1040718,13~15,台北市松山區光復北路181~210號
342,住宅竊盜,1040718,16~18,台北市萬華區西園路一段121~150號
343,住宅竊盜,1040718,19~21,台北市北投區林泉里溫泉路121~150號
344,住宅竊盜,1040720,16~18,台北市北投區清江里中央南路二段91~120號
345,住宅竊盜,1040720,19~21,台北市士林區百齡里11鄰前港街110巷1~30號
346,住宅竊盜,1040720,22~24,台北市萬華區雅江街61~90號
347,住宅竊盜,1040721,10~12,台北市松山區南京東路五段251巷24弄1~30號
348,住宅竊盜,1040721,22~24,台北市信義區三犁里信義路五段121~150號
349,住宅竊盜,1040722,13~15,台北市大同區保安里哈密街59巷31弄31~60號
350,住宅竊盜,1040722,16~18,台北市萬華區中華路二段504巷1~30號
351,住宅竊盜,1040723,07~09,台北市松山區南京東路五段23巷7弄1~30號
352,住宅竊盜,1040724,13~15,台北市內湖區成功路四段323巷9弄1~30號
353,住宅竊盜,1040725,10~12,台北市松山區南京東路五段66巷1~30號
