ID,date_time,title,,,
et_5051,2018-11-23,防禦台中／違法任用選務員　中市選委會：已更換不影響投開票,1,2,1
ltn_6842,2018-11-18,侯友宜選前10天內引用民調涉違法 蘇辦籲選委會查辦,1,1,1
ct_2523,2018-10-20,台中》林佳龍、陳世凱、張家銨發表聯合政見「烏大龍」 幸福再靠攏,2,3,2
et_5392,2018-11-24,韓國瑜得票19萬？　中選會網站顯示：3246票,4,5,3
ltn_6909,2018-11-18,陳其邁岡山造勢晚會 10萬人齊唱《島嶼天光》,1,1,1
ct_5182,2018-11-13,仰德大道4死車禍 監委要求交部檢討,1,1,1
ct_1539,2018-10-11,看蔡英文國慶演說 黃智賢心寒：中華民國如「漢獻帝」,2,4,2
ltn_5614,2018-11-11,侯友宜板橋萬人造勢 朱立倫未同台,1,1,1
ct_6808,2018-11-24,花蓮》花蓮選舉投開票 徐榛蔚投完票回家陪婆婆吃飯,1,1,2
ct_744,2018-10-02,修法對抗假新聞 賴清德：立院本會期提出,1,1,1
et_2958,2018-11-06,「十秒誤會解開」　韓國瑜稱沒已讀不回館長,4,4,3
ct_35,2018-09-24,向扁請益？丁守中：要向貪腐前科請教什麼？,2,2,1
et_1330,2018-10-10,影／「千坑之城、賴三寶」　吳敦義、賴清德國慶悄悄話原來談這些,5,5,5
et_2125,2018-10-26,終於簽了！柯文哲點頭參加辯論：我沒有說我不同意啊,1,1,3
et_1084,2018-10-06,影／侯友宜反深澳　賴清德猛轟：你說清楚電從哪來？,1,2,1
ct_840,2018-10-03,新北「娃娃機」未來須離校園百米外 王威元：終於鬆一口氣,1,3,2
ct_5572,2018-11-16,嘉義》縣長候選人政見會 3人皆著重農業發展,2,1,1
ltn_6286,2018-11-15,17場活動只花34萬？  丁守中競選經費明細被嘲笑...,4,5,4
et_629,2018-09-29,美參院外委會通過挺台法案　外交部歡迎不分黨派支持台灣,1,1,1
ltn_7244,2018-11-20,是否跟辭立委 黃偉哲：選擇盡職非辭職,1,3,1
ltn_4318,2018-11-02,張麗善辭立委 李進勇競選團隊這麼說…,5,4,3
ltn_7550,2018-11-21,護唇膏「毒」韓國瑜 王定宇爆「自家打自家」,4,5,4
ltn_6984,2018-11-19,朱立倫躺著也中槍 侯友宜：選舉不該是他在選、他家也在選,4,4,3
ct_4668,2018-11-09,AIT主席莫健看台灣大選 擔憂受外在勢力影響,2,1,1
ct_6442,2018-11-22,高雄》選前之夜蔡英文不上台 但事先與陳其邁合體,1,1,1
ct_4628,2018-11-09,高雄》被嗆廣告看板很貴 韓國瑜：一瓶礦泉水指的是造勢活動,4,4,2
et_1866,2018-10-23,宗教遭汙名化？　黃國昌轟黃昭順：推卸責任、沒有羞恥,2,4,2
ct_6920,2018-11-24,民國黨徐欣瑩 19：40宣布落選新竹縣長,1,1,1
et_1834,2018-10-21,空軍與法國達梭簽約5年107.4億　維持幻象2000戰力,1,1,1
ct_6870,2018-11-24,票開一半...台獨明星看到韓國瑜票數崩潰：好想哭好想吐,4,5,3
et_528,2018-09-28,被開除黨籍　鄺麗貞：不意外，求仁得仁罷了,4,2,2
ltn_1014,2018-10-03,侯友宜「引擎說」爆抄襲？ 侯辦駁：常見名詞人人可用,4,3,2
et_2427,2018-10-30,女官兵也要教召了　目前符合已有5500人、2萬2000人納編管,3,1,1
ct_2103,2018-10-17,全球競爭力排名第13 賴清德：國際肯定台灣經濟轉型、投資環境佳,2,1,1
ltn_181,2018-09-26,南歐考察13天報告長這樣...網友狂轟竹縣議員「小孩代筆？」,5,5,4
ct_5080,2018-11-13,新北》 韓流外溢升溫選情 藍營穩住六都唯一執政地都靠他,5,5,4
ct_5107,2018-11-13,高雄》得三山者得天下！ 陳清茂：攤販跟著禿子走,4,4,3
ct_1963,2018-10-15,彰化》誰插的旗？ 捷運一路到南彰紅藍旗幟飄揚 卻沒人認,5,4,4
ct_5163,2018-11-13,南投》許淑華陪同陳中明拜票 水里街頭掀「韓流」,2,3,1
ct_1628,2018-10-12,屏東》新埤鄉餉潭村長潘德生洗腎20逾年　為民服務不落人後,1,2,1
ct_5504,2018-11-15,送白米被質疑賄選 徐欣瑩：有人賄選還先開記者會嗎？,2,2,1
et_4960,2018-11-23,兩萬人高喊「換掉他」！張善政：拯救國門的破爛就要從台北開始,5,5,4
et_3555,2018-11-12,柯文哲競辦：台北去年招商第一名　今年也一樣,1,2,1
et_2883,2018-11-05,親子博物館大獲好評　蘇貞昌辦園遊會讓大人小孩搶先玩,2,1,1
ltn_6898,2018-11-18,超級星期天！王惠美搶進彰化市 嗆蔡英文來20次也沒用！,4,2,2
et_4008,2018-11-15,影／拚連任陷苦戰想過會輸？柯文哲嘆還是有落選可能,4,3,1
ct_2644,2018-10-22,50輛悍馬車轉送中南美友邦 吳釗燮：美方尚未同意,1,2,1
et_246,2018-09-20,台電嗆侯友宜反深澳「移花接木」　蘇貞昌：抓到了！假資料騙選票,4,5,4
ltn_2703,2018-10-18,楊文科訪竹縣基層 提芎林建設藍圖,1,1,1
ltn_6674,2018-11-17,不給摸頭了...韓國瑜鳳山造勢晚會取消中走道進場,5,3,2
ltn_8381,2018-11-24,同婚公投慘敗！ 14、15案不同意票大幅領先同意票...,2,4,2
ltn_5852,2018-11-13,桃園市政見會》朱梅雪挺同婚 當選組律師團釋憲,1,2,1
