statistic_yyy,district_code,site_id,village,single_age_15down_m,single_age_15_19_m,single_age_20_24_m,single_age_25_29_m,single_age_30_34_m,single_age_35_39_m,single_age_40_44_m,single_age_45_49_m,single_age_50_54_m,single_age_55_59_m,single_age_60_64_m,single_age_65_69_m,single_age_70_74_m,single_age_75_79_m,single_age_80_84_m,single_age_85_89_m,single_age_90_94_m,single_age_95_99_m,single_age_100up_m,single_age_15down_f,single_age_15_19_f,single_age_20_24_f,single_age_25_29_f,single_age_30_34_f,single_age_35_39_f,single_age_40_44_f,single_age_45_49_f,single_age_50_54_f,single_age_55_59_f,single_age_60_64_f,single_age_65_69_f,single_age_70_74_f,single_age_75_79_f,single_age_80_84_f,single_age_85_89_f,single_age_90_94_f,single_age_95_99_f,single_age_100up_f,married_15down_m,married_15_19_m,married_20_24_m,married_25_29_m,married_30_34_m,married_35_39_m,married_40_44_m,married_45_49_m,married_50_54_m,married_55_59_m,married_60_64_m,married_65_69_m,married_70_74_m,married_75_79_m,married_80_84_m,married_85_89_m,married_90_94_m,married_95_99_m,married_100up_m,married_15down_f,married_15_19_f,married_20_24_f,married_25_29_f,married_30_34_f,married_35_39_f,married_40_44_f,married_45_49_f,married_50_54_f,married_55_59_f,married_60_64_f,married_65_69_f,married_70_74_f,married_75_79_f,married_80_84_f,married_85_89_f,married_90_94_f,married_95_99_f,married_100up_f,divorced_15down_m,divorced_15_19_m,divorced_20_24_m,divorced_25_29_m,divorced_30_34_m,divorced_35_39_m,divorced_40_44_m,divorced_45_49_m,divorced_50_54_m,divorced_55_59_m,divorced_60_64_m,divorced_65_69_m,divorced_70_74_m,divorced_75_79_m,divorced_80_84_m,divorced_85_89_m,divorced_90_94_m,divorced_95_99_m,divorced_100up_m,divorced_15down_f,divorced_15_19_f,divorced_20_24_f,divorced_25_29_f,divorced_30_34_f,divorced_35_39_f,divorced_40_44_f,divorced_45_49_f,divorced_50_54_f,divorced_55_59_f,divorced_60_64_f,divorced_65_69_f,divorced_70_74_f,divorced_75_79_f,divorced_80_84_f,divorced_85_89_f,divorced_90_94_f,divorced_95_99_f,divorced_100up_f,widowed_15down_m,widowed_15_19_m,widowed_20_24_m,widowed_25_29_m,widowed_30_34_m,widowed_35_39_m,widowed_40_44_m,widowed_45_49_m,widowed_50_54_m,widowed_55_59_m,widowed_60_64_m,widowed_65_69_m,widowed_70_74_m,widowed_75_79_m,widowed_80_84_m,widowed_85_89_m,widowed_90_94_m,widowed_95_99_m,widowed_100up_m,widowed_15down_f,widowed_15_19_f,widowed_20_24_f,widowed_25_29_f,widowed_30_34_f,widowed_35_39_f,widowed_40_44_f,widowed_45_49_f,widowed_50_54_f,widowed_55_59_f,widowed_60_64_f,widowed_65_69_f,widowed_70_74_f,widowed_75_79_f,widowed_80_84_f,widowed_85_89_f,widowed_90_94_f,widowed_95_99_f,widowed_100up_f
107,65000010010,新北市板橋區,中正里,313,127,125,147,139,92,52,24,24,12,7,4,1,1,1,1,0,0,0,289,113,111,129,110,75,51,27,15,12,10,5,0,2,0,0,0,0,0,0,0,3,12,55,109,117,109,94,106,114,104,58,29,14,13,3,0,0,0,0,5,29,85,130,122,105,85,123,147,102,42,24,5,1,0,0,0,0,0,0,0,11,16,22,25,23,21,18,13,9,2,2,0,0,0,0,0,0,1,5,9,16,27,18,23,31,21,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,5,7,3,6,2,7,1,0,0,0,0,0,0,0,0,1,5,5,16,37,36,31,21,22,10,2,0,0
107,65000010011,新北市板橋區,自強里,359,102,120,165,152,101,64,38,23,28,9,4,2,1,1,0,0,0,0,316,86,122,128,110,100,60,45,24,27,17,20,6,2,1,0,0,2,0,0,0,0,11,65,107,115,117,89,128,196,197,124,70,25,23,15,1,0,0,0,2,20,82,147,125,101,101,161,198,202,85,46,12,9,2,0,0,0,0,1,1,4,18,16,14,12,17,22,12,5,3,1,0,1,1,0,0,0,1,0,4,16,15,15,21,20,13,19,8,2,0,0,2,1,0,0,0,0,0,0,0,0,1,0,3,2,4,7,9,6,5,2,1,0,0,0,0,0,0,1,1,3,6,11,19,41,43,33,25,24,21,5,0
107,65000010012,新北市板橋區,自立里,161,72,81,87,70,72,50,25,11,9,4,3,2,1,0,0,0,0,0,154,69,85,69,68,51,35,25,8,10,5,4,0,0,0,0,0,0,0,0,0,1,9,32,73,66,58,66,62,85,76,46,37,11,4,4,0,0,0,0,1,17,43,82,81,42,64,76,90,73,44,22,5,1,1,0,0,0,0,0,0,3,3,12,16,18,18,19,9,3,2,1,0,0,0,0,0,0,1,0,3,9,23,12,21,20,22,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,5,3,1,0,0,0,0,0,0,0,0,0,1,1,2,16,11,24,27,27,9,11,8,2,1
107,65000010013,新北市板橋區,光華里,183,67,74,102,65,66,37,25,19,9,11,2,0,1,1,0,0,1,0,148,59,75,76,55,35,31,36,19,24,8,11,4,1,0,1,0,0,0,0,0,2,6,34,54,68,59,69,63,73,62,40,31,22,9,4,1,0,0,0,3,8,52,63,63,62,62,75,92,56,44,22,8,3,2,0,0,0,0,1,1,1,5,7,12,16,13,18,12,1,1,0,0,0,0,0,0,0,1,3,4,7,13,17,14,29,21,14,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,2,0,4,4,0,0,0,0,0,0,0,0,0,2,4,6,17,14,18,17,22,17,5,2,0
107,65000010014,新北市板橋區,國光里,146,121,122,128,92,62,26,34,22,7,6,4,2,3,0,0,0,1,0,156,97,127,94,60,51,30,28,27,23,14,14,1,0,1,0,0,0,0,0,0,4,2,28,78,84,89,125,129,111,108,50,36,12,28,26,2,0,0,0,2,20,45,82,77,121,138,117,123,112,38,27,8,7,0,0,0,0,0,0,1,2,7,12,14,15,12,15,13,4,0,1,1,2,0,0,0,0,0,2,3,8,15,14,15,18,18,15,7,2,0,0,1,0,0,0,0,0,0,1,0,1,0,2,1,2,4,4,3,2,9,4,0,0,0,0,0,0,0,1,0,0,2,7,16,34,32,59,23,30,14,3,0
107,65000010015,新北市板橋區,港尾里,222,90,108,84,82,44,32,14,8,11,1,2,1,0,0,0,1,0,0,209,83,79,87,71,45,29,19,18,15,7,4,3,1,1,0,0,0,0,0,0,0,6,38,68,91,61,75,84,73,79,36,14,14,8,4,0,0,0,0,1,17,50,95,84,73,104,86,99,65,23,7,10,1,0,0,0,0,0,1,0,3,6,12,16,13,9,14,6,3,0,1,0,1,0,0,0,0,0,2,8,13,13,20,14,12,20,9,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,4,1,4,1,0,1,2,0,0,0,0,0,1,2,1,3,1,14,21,15,10,14,14,6,3,0,0
107,65000010016,新北市板橋區,金華里,284,101,103,141,113,74,62,28,21,17,7,3,1,2,0,0,1,0,0,226,91,131,101,85,77,54,25,18,13,7,5,2,0,2,1,0,0,0,0,0,2,15,53,115,90,89,81,102,116,106,63,33,15,15,7,0,0,0,0,5,34,71,115,83,80,85,119,122,127,44,20,10,3,1,0,0,0,0,0,2,7,15,27,12,18,15,11,9,2,4,0,0,1,0,0,0,1,1,1,10,16,30,19,20,26,26,14,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,5,5,4,7,3,5,1,0,0,0,0,0,0,0,2,2,3,9,20,23,42,30,28,21,7,1,0,0
107,65000010017,新北市板橋區,港德里,320,136,153,146,109,100,69,41,23,18,7,1,0,1,0,0,2,0,0,248,107,136,127,92,98,48,28,31,20,8,13,8,4,1,2,1,0,0,0,0,1,15,58,121,127,101,90,124,110,174,82,39,23,8,6,0,2,0,0,3,34,72,131,117,101,103,136,148,151,49,35,12,6,1,0,0,0,0,0,4,9,27,25,14,30,28,17,12,8,5,1,1,0,0,0,0,0,0,4,12,19,33,26,22,27,38,22,8,4,1,0,0,0,0,0,0,0,1,0,0,1,3,0,1,3,9,8,7,8,5,3,0,0,0,0,0,0,0,1,2,3,7,14,28,49,31,39,34,24,4,2,0
107,65000010018,新北市板橋區,民權里,158,62,69,84,69,60,46,16,19,12,7,5,0,0,0,2,1,0,0,127,70,61,70,55,32,28,32,21,10,15,8,4,2,1,0,0,0,0,0,0,0,7,19,57,60,63,58,67,75,73,45,48,18,11,5,1,0,0,1,2,12,31,63,64,54,54,78,81,74,48,27,9,4,0,0,0,0,0,0,1,1,7,6,14,9,14,10,8,3,3,0,1,1,0,0,0,0,0,0,7,6,14,11,20,21,19,12,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,5,7,5,2,2,3,0,0,0,0,0,0,0,1,1,7,11,16,13,24,34,17,17,14,1,0
107,65000010019,新北市板橋區,建國里,202,79,131,95,85,107,61,45,26,17,8,3,0,0,1,0,0,0,0,202,93,94,118,79,58,51,40,17,14,9,8,0,1,0,0,0,0,0,0,0,2,9,28,77,101,66,76,94,90,77,64,50,21,8,9,0,0,0,0,4,26,51,86,81,71,86,100,105,92,60,25,11,3,1,0,0,0,0,1,1,7,8,20,13,16,15,13,12,6,4,2,1,0,0,0,0,0,1,1,6,16,26,18,16,31,20,14,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,6,2,3,4,3,3,0,0,0,0,0,0,0,3,0,5,4,7,19,39,29,25,28,18,3,0,0
107,65000010020,新北市板橋區,漢生里,333,90,111,111,116,92,43,36,24,13,13,3,0,1,0,0,0,0,0,325,92,81,124,85,70,47,34,20,17,12,13,5,1,4,1,0,0,0,0,0,2,5,40,101,105,78,80,107,151,125,82,68,25,13,4,1,0,0,0,2,19,66,120,131,75,92,129,154,118,58,35,11,5,2,0,0,0,0,0,0,4,5,16,19,12,16,16,19,6,2,0,3,0,0,0,0,0,0,4,3,14,20,22,14,7,25,9,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,5,9,7,4,3,4,0,0,0,0,0,0,0,0,3,1,6,7,24,26,21,25,34,25,7,4,0
107,65000010021,新北市板橋區,公舘里,280,136,126,110,114,68,45,41,19,17,11,4,0,0,0,0,0,0,0,272,120,99,89,76,53,46,39,23,11,12,3,4,0,3,1,0,0,0,0,0,0,5,36,80,103,100,85,97,105,81,61,42,15,12,2,1,0,0,0,2,22,51,112,112,86,85,109,93,96,51,27,9,1,1,0,0,0,0,0,0,7,10,9,20,24,23,19,12,7,3,0,1,0,0,0,0,0,1,0,6,17,24,10,31,27,17,10,3,3,1,0,0,0,0,0,0,0,0,0,0,1,2,2,3,6,2,4,7,9,5,4,0,0,0,0,0,0,1,0,1,0,6,15,15,17,27,38,22,19,8,1,1
107,65000010022,新北市板橋區,新民里,418,118,113,133,120,74,47,42,23,15,5,8,3,1,0,1,1,0,0,353,124,104,102,72,48,43,37,25,17,17,13,4,1,2,1,0,0,0,0,1,2,10,50,91,116,97,90,135,137,103,59,46,27,12,4,0,0,0,0,4,22,58,131,152,117,115,122,140,90,51,29,11,5,1,0,0,0,0,1,1,3,12,15,20,11,27,10,15,4,1,1,0,0,0,0,0,0,0,0,4,15,18,17,19,23,23,12,8,4,4,3,0,0,0,0,0,0,0,0,0,0,0,1,7,3,5,7,8,4,3,3,0,0,0,0,0,0,1,1,1,1,6,13,20,28,30,33,30,13,7,4,0
107,65000010023,新北市板橋區,幸福里,245,115,142,124,95,83,55,34,25,13,12,5,1,0,0,1,0,0,0,229,88,111,102,76,66,47,26,27,14,11,5,4,2,0,0,0,0,0,0,0,2,16,53,88,95,85,94,124,88,77,63,42,19,9,8,1,1,0,0,3,24,70,116,111,81,106,110,94,92,49,26,12,3,1,0,0,0,0,1,1,5,13,19,18,25,23,24,12,9,2,0,1,0,0,0,0,0,2,3,7,12,13,32,27,29,18,18,7,2,1,1,0,0,0,0,0,0,0,0,1,0,0,5,2,6,5,10,9,5,4,0,0,0,0,0,0,0,0,0,2,3,9,4,14,29,26,48,21,8,6,1,0
107,65000010024,新北市板橋區,忠誠里,304,130,109,123,88,83,42,31,23,19,5,10,1,2,0,0,0,0,0,245,102,105,104,102,45,35,41,25,24,8,11,3,2,0,0,1,0,0,0,1,1,7,34,73,88,131,96,125,140,97,46,28,19,47,14,8,0,0,1,1,21,52,98,124,115,89,127,136,83,52,24,17,3,3,0,0,0,0,0,1,0,10,14,12,22,17,10,14,3,0,2,4,1,0,1,0,0,0,1,2,13,7,19,27,25,23,10,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,3,5,2,4,8,5,3,0,0,0,0,0,0,1,0,2,6,13,19,47,38,55,42,24,14,8,0
107,65000010025,新北市板橋區,百壽里,257,71,68,71,44,47,42,22,19,9,6,3,1,0,0,0,1,0,0,232,66,80,69,48,30,24,18,14,9,6,6,1,0,0,0,0,0,0,0,0,0,5,25,76,72,61,68,58,65,57,41,31,9,12,4,0,0,0,0,3,13,41,84,103,88,61,72,66,47,46,16,9,1,0,0,0,0,0,0,1,5,6,11,17,11,7,11,4,4,3,0,0,0,0,0,0,0,0,1,6,10,17,14,18,23,15,11,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,2,1,2,3,4,3,0,0,0,0,0,0,0,0,5,2,4,8,15,25,22,16,16,11,3,0,0
107,65000010026,新北市板橋區,介壽里,258,64,75,81,74,72,53,27,19,13,8,3,2,0,0,0,0,0,0,259,72,83,78,55,42,35,32,15,8,8,10,5,0,1,1,1,0,0,0,0,0,8,29,63,92,70,61,63,78,85,40,29,27,8,4,1,0,0,0,0,13,36,95,119,72,66,78,91,77,29,34,10,2,2,0,0,0,0,0,0,0,8,16,14,23,13,22,13,4,1,1,1,0,0,0,0,0,1,2,8,16,17,21,19,13,16,19,7,4,2,1,0,0,0,0,0,0,0,0,1,0,2,0,0,4,3,6,4,4,4,2,0,0,0,0,0,0,1,0,1,2,5,7,13,27,20,17,17,18,6,1,1
107,65000010027,新北市板橋區,新埔里,108,43,57,61,60,41,28,25,9,6,3,3,2,0,2,0,0,0,0,97,46,58,68,43,35,30,29,9,8,1,6,2,2,2,0,0,0,0,0,0,2,8,23,44,59,50,52,50,63,50,42,28,9,7,2,0,0,0,0,2,10,32,51,52,44,51,66,49,63,32,15,6,1,0,0,0,0,0,0,0,4,9,15,7,8,13,9,9,3,0,1,0,0,0,0,0,0,2,0,3,7,9,15,12,22,5,6,5,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,2,5,3,3,3,2,4,1,0,0,0,0,0,0,0,0,0,2,2,4,14,18,19,25,14,9,3,0,1
107,65000010028,新北市板橋區,華江里,747,218,220,193,156,118,70,41,27,16,16,7,1,0,0,0,0,0,0,724,206,198,181,146,118,84,81,40,32,15,9,3,3,2,0,0,1,0,0,0,2,14,71,182,216,246,193,181,158,144,86,47,21,10,3,0,0,0,1,5,19,127,229,320,292,224,185,191,149,66,32,12,9,0,0,0,0,0,0,2,10,16,22,26,36,20,26,20,5,6,1,3,1,0,0,0,0,0,1,10,28,39,51,49,45,38,32,13,11,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,6,6,5,9,5,3,2,0,1,0,0,0,0,0,2,6,4,7,12,35,37,37,34,22,21,8,1,0
